t	NADH_m	ADP_m	deltaPsi	Ca_m	Ca_c	FBP
0.36	0.999807	1.00011	0.221884	0.964304	0.0001	5
0.361	0.999807	1.00011	0.219856	0.964207	0.0001	5
0.362	0.999806	1.00011	0.217829	0.96411	0.0001	5
0.363	0.999806	1.00011	0.215803	0.964013	0.0001	5
0.364	0.999805	1.00011	0.213777	0.963917	0.0001	5
0.365	0.999805	1.00011	0.211752	0.96382	0.0001	5
0.366	0.999804	1.00011	0.209728	0.963723	0.0001	5
0.367	0.999803	1.00011	0.207704	0.963626	0.0001	5
0.368	0.999803	1.00011	0.205681	0.96353	0.0001	5
0.369	0.999802	1.00011	0.203659	0.963433	0.0001	5
0.37	0.999802	1.00011	0.201638	0.963336	0.0001	5
0.371	0.999801	1.00011	0.199617	0.96324	0.0001	5
0.372	0.999801	1.00012	0.197597	0.963143	0.0001	5
0.373	0.9998	1.00012	0.195578	0.963047	0.0001	5
0.374	0.9998	1.00012	0.193559	0.96295	0.0001	5
0.375	0.999799	1.00012	0.191541	0.962853	0.0001	5
0.376	0.999799	1.00012	0.189524	0.962757	0.0001	5
0.377	0.999798	1.00012	0.187507	0.96266	0.0001	5
0.378	0.999798	1.00012	0.185492	0.962564	0.0001	5
0.379	0.999797	1.00012	0.183477	0.962467	0.0001	5
0.38	0.999797	1.00012	0.181462	0.962371	0.0001	5
0.381	0.999796	1.00012	0.179449	0.962274	0.0001	5
0.382	0.999795	1.00012	0.177436	0.962178	0.0001	5
0.383	0.999795	1.00012	0.175424	0.962081	0.0001	5
0.384	0.999794	1.00012	0.173412	0.961985	0.0001	5
0.385	0.999794	1.00012	0.171402	0.961888	0.0001	5
0.386	0.999793	1.00012	0.169392	0.961792	0.0001	5
0.387	0.999793	1.00012	0.167382	0.961695	0.0001	5
0.388	0.999792	1.00012	0.165374	0.961599	0.0001	5
0.389	0.999792	1.00012	0.163366	0.961503	0.0001	5
0.39	0.999791	1.00012	0.161359	0.961406	0.0001	5
0.391	0.999791	1.00012	0.159352	0.96131	0.0001	5
0.392	0.99979	1.00012	0.157347	0.961213	0.0001	5
0.393	0.99979	1.00012	0.155342	0.961117	0.0001	5
0.394	0.999789	1.00012	0.153337	0.961021	0.0001	5
0.395	0.999788	1.00012	0.151334	0.960924	0.0001	5
0.396	0.999788	1.00012	0.149331	0.960828	0.0001	5
0.397	0.999787	1.00012	0.147329	0.960732	0.0001	5
0.398	0.999787	1.00012	0.145327	0.960635	0.0001	5
0.399	0.999786	1.00012	0.143326	0.960539	0.0001	5
0.4	0.999786	1.00012	0.141326	0.960443	0.0001	5
0.401	0.999785	1.00012	0.139327	0.960347	0.0001	5
0.402	0.999785	1.00012	0.137329	0.96025	0.0001	5
0.403	0.999784	1.00012	0.135331	0.960154	0.0001	5
0.404	0.999784	1.00013	0.133333	0.960058	0.0001	5
0.405	0.999783	1.00013	0.131337	0.959962	0.0001	5
0.406	0.999783	1.00013	0.129341	0.959866	0.0001	5
0.407	0.999782	1.00013	0.127346	0.959769	0.0001	5
0.408	0.999782	1.00013	0.125352	0.959673	0.0001	5
0.409	0.999781	1.00013	0.123358	0.959577	0.0001	5
0.41	0.99978	1.00013	0.121365	0.959481	0.0001	5
0.411	0.99978	1.00013	0.119373	0.959385	0.0001	5
0.412	0.999779	1.00013	0.117381	0.959289	0.0001	5
0.413	0.999779	1.00013	0.115391	0.959193	0.0001	5
0.414	0.999778	1.00013	0.113401	0.959096	0.0001	5
0.415	0.999778	1.00013	0.111411	0.959	0.0001	5
0.416	0.999777	1.00013	0.109422	0.958904	0.0001	5
0.417	0.999777	1.00013	0.107435	0.958808	0.0001	5
